id,nombre,tipo,dirección,ciudad,provincia,país,código_iso,latitud,longitud,descripción,motivo_inclusión,adaptaciones_sensoriales,certificación,nivel_verificación,web_oficial,url_oficial,fuente,fecha_verificación
REAL-002m,Altoaragón — Sabiñánigo 1 (Coli Escalona 10),supermercado,,Sabiñánigo,,España,,42.518,-0.363,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-002n,Altoaragón — Sabiñánigo 2 (Coli Escalona 68),supermercado,,Sabiñánigo,,España,,42.5155,-0.36,"Sin música, sin megafonía, reducción lumínica.",,,,Verificado - Documentación pública,,,https://www.igastroaragon.com/2024/04/supermercados-altoaragon-activa-la-hora-silenciosa-en-apoyo-a-las-personas-con-autismo-e-hipersensibilidad-sensorial.html,2026-07-20
REAL-003,Centro Comercial Diagonal Mar,centro_comercial,,Barcelona,,España,,41.4107,2.2115,Implantó la hora silenciosa en abril 2024. Reducción de luz y música. Mochilas sensoriales en alquiler para visitantes.,,,,Verificado - Documentación pública,,,https://www.distribucionactualidad.com/hora-silenciosa-llega-mas-supermercados-y-centros-comerciales/,2026-07-20
REAL-004,Centro Comercial H2O — Hora de la Calma,centro_comercial,,Rivas-Vaciamadrid,,España,,40.3592,-3.5062,Reducción de iluminación y eliminación de música ambiental.,,,,Verificado - Documentación pública,,,https://www.distribucionactualidad.com/hora-silenciosa-llega-mas-supermercados-y-centros-comerciales/,2026-07-20
REAL-005,Centro Comercial Alcalá Magna,centro_comercial,,Alcalá de Henares,,España,,40.4831,-3.3626,Implantó la hora silenciosa en abril 2024 junto a otros centros comerciales.,,,,Verificado - Documentación pública,,,https://www.distribucionactualidad.com/hora-silenciosa-llega-mas-supermercados-y-centros-comerciales/,2026-07-20
REAL-A01,Aeropuerto Adolfo Suárez Madrid-Barajas,aeropuerto,,Madrid,,España,,40.4721,-3.5679,"Adherido al sistema de Distintivo de Discapacidad Invisible de AENA. Personal formado para asistir a personas con discapacidades no visibles (TEA, hipersensibilidad, ansiedad…). ⚠️ El lanyard Sunflower UK ya no es reconocido en aeropuertos AENA; usa el distintivo oficial.",,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A02,Aeropuerto Josep Tarradellas Barcelona-El Prat,aeropuerto,,Barcelona,,España,,41.2974,2.0785,Adherido al Distintivo de Discapacidad Invisible de AENA. ⚠️ El lanyard Sunflower UK no es reconocido; usa el distintivo oficial de AENA.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A03,Aeropuerto Málaga-Costa del Sol ✚ sala silenciosa,aeropuerto,,Málaga,,España,,36.6749,-4.4993,"Único aeropuerto AENA con sala silenciosa confirmada para personas con discapacidades invisibles y sensibilidad sensorial. Además del distintivo AENA, cuenta con este espacio de baja estimulación.",,,,Verificado - Documentación pública,,,https://aviaciondigital.com/papel-distintivo-capacidades-invisibles-aeropuertos/,2026-07-20
REAL-A04,Aeropuerto Alicante-Elche Miguel Hernández + sala sensorial,aeropuerto,,Alicante,,España,,38.2822,-0.5581,Aeropuerto AENA con Distintivo de Discapacidad Invisible. Solicita el distintivo antes del vuelo.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A05,Aeropuerto de Sevilla,aeropuerto,,Sevilla,,España,,37.418,-5.8931,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A06,Aeropuerto de Valencia,aeropuerto,,Valencia,,España,,39.4893,-0.4733,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A07,Aeropuerto de Palma de Mallorca,aeropuerto,,Palma de Mallorca,,España,,39.5517,2.7388,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A08,Aeropuerto de Bilbao,aeropuerto,,Bilbao,,España,,43.3009,-2.9112,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A09,Aeropuerto César Manrique-Lanzarote,aeropuerto,,Lanzarote,,España,,28.9455,-13.6052,Aeropuerto AENA con Distintivo de Discapacidad Invisible. Solicita el distintivo antes del vuelo en la web de AENA.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A10,Aeropuerto de Fuerteventura,aeropuerto,,Fuerteventura,,España,,28.4527,-13.8638,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A11,Aeropuerto de Girona-Costa Brava,aeropuerto,,Girona,,España,,41.901,2.7604,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A12,Aeropuerto de Gran Canaria,aeropuerto,,Gran Canaria,,España,,27.9319,-15.3866,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A13,Aeropuerto de Ibiza,aeropuerto,,Ibiza,,España,,38.8729,1.3731,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A14,Aeropuerto Internacional Región de Murcia,aeropuerto,,Murcia,,España,,37.8035,-1.0172,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A15,Aeropuerto de Menorca,aeropuerto,,Menorca,,España,,39.8626,4.2186,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A16,Aeropuerto de Reus,aeropuerto,,Reus,,España,,41.1474,1.1672,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A17,Aeropuerto Santiago-Rosalía de Castro,aeropuerto,,Santiago de Compostela,,España,,42.8963,-8.4154,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A18,Aeropuerto Tenerife Norte-Ciudad de La Laguna,aeropuerto,,Tenerife Norte,,España,,28.4827,-16.3415,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A19,Aeropuerto Tenerife Sur,aeropuerto,,Tenerife Sur,,España,,28.0445,-16.5725,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-A20,Aeropuerto de Vigo,aeropuerto,,Vigo,,España,,42.2318,-8.6268,Aeropuerto AENA con Distintivo de Discapacidad Invisible.,,,,Verificado - Documentación pública,,,https://www.aena.es/es/pasajeros/viajeros/personas-con-necesidades-especiales/discapacidades-invisibles/distintivo-discapacidades-invisibles.html,2026-07-20
REAL-S01,Red Hidden Disabilities Sunflower — España,sunflower,,España,,España,,40.42,-3.7038,"Comercios, transportes y servicios adheridos al programa Sunflower en España. El personal reconoce el cordón de girasol y ofrece ayuda discreta a personas con discapacidades invisibles (TEA, autismo, ansiedad, Crohn, etc.). ⚠️ En aeropuertos AENA el lanyard Sunflower UK no es suficiente; usa el Distintivo de Discapacidad Invisible de AENA.",,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
REAL-006,Biblioteca/CRAI UPF — Espacios de Silencio (3 campus),biblioteca,,Barcelona,,España,,41.3851,2.1833,"La UPF ofrece espacios de silencio en 3 campus: Ciutadella (665 puntos), Poblenou (114) y Mar (149). Zonas de silencio estricto.",,,,Verificado - Documentación pública,,,https://www.upf.edu/es/web/biblioteca-informatica/espais/-/asset_publisher/qVFQ3NDE1dHm/content/000_model-d-espais/maximized,2026-07-20
REAL-007,CRAI URV — Silent Space,biblioteca,,Tarragona,,España,,41.1189,1.1528,El CRAI de la Universitat Rovira i Virgili dispone de 'Silent Spaces' para estudio y lectura en silencio.,,,,Verificado - Documentación pública,,,https://www.crai.urv.cat/en/about/spaces/silent-space/,2026-07-20
REAL-008,Biblioteca UCM Económicas — 'La Cápsula',biblioteca,,Pozuelo de Alarcón,,España,,40.453,-3.8014,"Cabina insonorizada (−30 dB) instalada en oct. 2023. Mesa y silla regulables, luz y ventilación controlables, USB-C. Aislamiento sensorial total.",,,,Verificado - Documentación pública,,,https://www.julianmarquina.es/biblioteca-universitaria-instala-una-cabina-insonorizada-para-estudio-sin-distracciones/,2026-07-20
REAL-009,Plaza de Sant Jordi (Reus),espacio_natural,,Reus,,España,,41.1622409,1.1100044,Parque urbano extenso con jardines y masía modernista. Ambiente relajado y bajo nivel de ruido habitual.,,,,Verificado - Documentación pública,,,https://www.visitreus.com/,2026-07-20
REAL-010,Torre de Hércules y entorno,espacio_natural,,A Coruña,,España,,43.3870534,-8.4049866,Faro romano Patrimonio de la Humanidad. El paseo perimetral y acantilados están siempre abiertos y ofrecen gran tranquilidad con vistas al Atlántico.,,,,Verificado - Documentación pública,,,https://www.torredeherculesacoruna.com/,2026-07-20
REAL-011,Monte de San Pedro,espacio_natural,,A Coruña,,España,,43.3771472,-8.4363556,Parque en cima de monte con antiguas baterías militares reconvertidas. Sin tráfico rodado. Vistas panorámicas de la ría.,,,,Verificado - Documentación pública,,,https://www.coruna.gal/parques/es/detalle/monte-de-san-pedro/,2026-07-20
REAL-012,Parque de Santa Margarita,espacio_natural,,A Coruña,,España,,43.3619444,-8.4127778,"El parque más grande de A Coruña. Amplias zonas arboladas, lago y áreas apartadas con bajo nivel de ruido.",,,,Verificado - Documentación pública,,,https://www.coruna.gal/parques/es/detalle/parque-de-santa-margarita/,2026-07-20
REAL-013,Ventana del Atlántico,espacio_natural,,A Coruña,,España,,43.3708889,-8.4461389,Mirador sobre el Atlántico en el paseo marítimo. Bajo nivel de estimulación sensorial artificial.,,,,Verificado - Documentación pública,,,https://www.turismo.coruna.es/,2026-07-20
REAL-014,Castillo de Santa Cruz de Oleiros,espacio_natural,,Oleiros,,España,,43.3483333,-8.35,Castillo s. XVII en isla accesible a pie con marea baja. Entorno de baja afluencia con sonido del mar y aves.,,,,Verificado - Documentación pública,,,https://www.oleiros.org/web/es/turismo,2026-07-20
REAL-015,Fragas do Eume,espacio_natural,,Pontedeume / Cabanas,,España,,43.4175,-8.0683333,Uno de los bosques atlánticos mejor conservados de Europa. Silencio casi total: solo agua del río y pájaros. Ideal para personas con hipersensibilidad sensorial.,,,,Verificado - Documentación pública,,,https://www.xunta.gal/parques-naturais/fraga-do-eume,2026-07-20
REAL-016,Río Sar — Paseo fluvial,espacio_natural,,Santiago de Compostela,,España,,42.8481,-8.6475,"Paseo fluvial a orillas del río Sar a su paso por Santiago de Compostela. Entorno tranquilo y arbolado, bajo nivel de estimulación sensorial artificial, con el sonido del agua como único estímulo predominante.",,,,Verificado - Documentación pública,,,https://www.turismo.gal/que-visitar/natureza/rios-e-lagoas/rio-sar,2026-07-20
SUN-001,Teleférico Benalmádena,sunflower,,Benalmádena,,España,,36.5987,-4.5197,Teleférico panorámico adherido al programa Hidden Disabilities Sunflower. El personal reconoce el cordón de girasol y está formado para asistir a personas con discapacidades invisibles.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-002,Zoo Aquarium Madrid,sunflower,,Madrid,,España,,40.415,-3.7481,Zoo Aquarium adherido al programa Hidden Disabilities Sunflower. Personal formado para reconocer el cordón de girasol y ofrecer apoyo discreto.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-003,Faunia,sunflower,,Madrid,,España,,40.421,-3.6017,Parque de naturaleza y fauna adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-004,Aquopolis Cartaya,sunflower,,Cartaya,,España,,37.274,-7.148,Parque acuático adherido al programa Hidden Disabilities Sunflower. Personal formado para asistir a personas con discapacidades invisibles.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-005,Aquopolis Costa Daurada – La Pineda,sunflower,,Vilaseca (Tarragona),,España,,41.075,1.177,Parque acuático adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-006,Aquopolis Cullera,sunflower,,Cullera,,España,,39.17,-0.253,Parque acuático adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-007,Aquopolis Torrevieja,sunflower,,Torrevieja,,España,,37.976,-0.689,Parque acuático adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-008,Aquopolis Villanueva de la Cañada,sunflower,,Villanueva de la Cañada,,España,,40.455,-3.98,Parque acuático adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-009,Selwo Aventura Estepona,sunflower,,Estepona,,España,,36.435,-5.167,Parque de naturaleza salvaje adherido al programa Hidden Disabilities Sunflower. Personal formado para asistir a personas con discapacidades invisibles.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-010,Selwo Marina Benalmádena,sunflower,,Benalmádena,,España,,36.597,-4.518,Parque marino adherido al programa Hidden Disabilities Sunflower.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-011,IES Tomás Navarro Tomás (Albacete),sunflower,,Albacete,,España,,38.994,-1.866,Instituto de educación secundaria adherido al programa Hidden Disabilities Sunflower. Comunidad educativa formada para reconocer y apoyar a alumnos con discapacidades invisibles.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-012,Asociación Autismo El Puerto,sunflower,,El Puerto de Santa María,,España,,36.598,-6.229,Asociación de apoyo a personas con TEA adherida al programa Hidden Disabilities Sunflower. Ofrece servicios y apoyo a personas con autismo y sus familias.,,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-013,Gibraltar Airport,sunflower,,Gibraltar,,España,,36.1502,-5.3497,"Aeropuerto de Gibraltar adherido al programa Hidden Disabilities Sunflower. A diferencia de los aeropuertos AENA españoles, aquí sí se reconoce el cordón de girasol oficial.",,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-014,Special Needs Action Group (Gibraltar),sunflower,,Gibraltar,,España,,36.146,-5.352,"Organización de apoyo a personas con necesidades especiales en Gibraltar, adherida al programa Hidden Disabilities Sunflower.",,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-015,"Bolt Support (Lisboa, Portugal)",sunflower,,Lisboa,,España,,38.726,-9.15,"Servicio en Lisboa adherido al programa Hidden Disabilities Sunflower. Este lugar está en Portugal, fuera del territorio español, pero se incluye por su proximidad geográfica y por estar listado en el directorio oficial de Sunflower.",,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
SUN-016,Atlantis Aquarium Madrid,sunflower,,Arroyomolinos,,España,,40.2989,-3.924,"Acuario del grupo Parques Reunidos adherido a Hidden Disabilities Sunflower desde el 3 de abril de 2025, primera empresa en España en unirse a la iniciativa.",,,,Verificado - Documentación pública,,,https://hdsunflower.com/find-the-sunflower,2026-07-20
REAL-018,Sweet Space Museum,cultura,,Madrid,,España,,40.4291,-3.687,Museo interactivo de arte inmersivo y dulces con Sello Autism Friendly. Recorrido por salas temáticas con exposiciones de artistas. Adaptado para personas con TEA.,,,,Verificado - Documentación pública,,,https://todoestaenmadrid.com/es/shops/sweet-space-museum,2026-07-20
REAL-017,Novotel Madrid Center — Hotel Autism Friendly,hotel,,Madrid,,España,,40.4237,-3.6873,"Primer hotel de Madrid certificado Autism Friendly. Apoyo visual con pictogramas (SAAC), personal formado con el programa EU Autism Friendly Training, check-in prioritario, mesas preferentes, kit sensorial, zona tranquila en recepción y cartas adaptadas con pictogramas en restaurante y room service.",,,,Verificado - Documentación pública,,,https://www.novotelmadridcenter.com/home-v2/csr/autism-friendly/,2026-07-20
REAL-020,GF Victoria Gran Luxe — Hotel Autism Friendly,hotel,,Costa Adeje,,España,,28.0857,-16.7291,"Resort 5 estrellas GL con programa Autism Friendly propio: formulario previo a la estancia, equipo formado, entorno predecible, mapa visual del hotel y atención personalizada en comunicación, estímulos y rutina.",,,,Verificado - Documentación pública,,,https://www.gfvictoria.com/autism-friendly.html,2026-07-20
AFC-001,Hotel Boutique San Roque,hotel,,San Juan del Reparo (La Culata),,España,,28.3743112,-16.7642914,Hotel boutique certificado en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/canary-islands/san-juan-del-reparo-la-culata/alojamientos/hotel-boutique-san-roque/,2026-07-20
AFC-002,Hotel María del Mar,hotel,,Lloret de Mar,,España,,41.6997733,2.8418656,Hotel certificado en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/catalonia/lloret-de-mar/alojamientos/hotel-maria-del-mar/,2026-07-20
AFC-003,La Didáctica,cultura,,Colmenar Viejo,,España,,40.6654175,-3.7712863,"Asociación cultural, deportiva y recreativa certificada en Autism Friendly Club.",,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/community-of-madrid/colmenar-viejo/ocio/la-didactica-ocio-madrid/,2026-07-20
AFC-004,Sermade,centro_civico,,Comunidad de Ciudad y Tierra de Segovia,,España,,40.4496011,-4.0082653,"Servicio especializado en atención odontológica para colectivos con necesidades especiales, certificado en Autism Friendly Club.",,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/community-of-madrid/comunidad-de-ciudad-y-tierra-de-segovia/salud/sermade/,2026-07-20
AFC-005,Grupo Rubaiyat,cultura,,Madrid,,España,,40.4607672,-3.6867845,Restaurante certificado como Autism Friendly.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/community-of-madrid/madrid/restaurantes/restaurante-rubaiyat-restaurante-autism-friendly/,2026-07-20
AFC-006,Farmacia Peinado,centro_civico,,Madrid,,España,,40.4402177,-3.6439998,Farmacia comunitaria certificada en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/community-of-madrid/madrid/salud/farmacia-peinado/,2026-07-20
AFC-007,Centro Munay,centro_civico,,Soto del Real,,España,,40.7466453,-3.7825502,Centro especializado en intervención y acompañamiento a personas autistas y sus familias.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/community-of-madrid/soto-del-real/salud/centro-munay/,2026-07-20
AFC-008,Safari Madrid,cultura,,Madrid,,España,,40.289,-4.209,Espacio de ocio certificado en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/comunidad-de-madrid/madrid-1/ocio/safari-madrid-autism-friendly/,2026-07-20
AFC-009,Adecco Group,centro_civico,,Madrid,,España,,40.4456,-5.8072,"Compañía internacional de empleo y talento, certificada en Autism Friendly Club.",,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/comunidad-de-madrid/madrid-1/otros-servicios/adecco-group/,2026-07-20
AFC-010,Fundación Adecco,centro_civico,,Madrid,,España,,40.4449,-3.6786,"Fundación orientada a la inclusión laboral y social, certificada en Autism Friendly Club.",,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/comunidad-de-madrid/madrid-1/otros-servicios/fundacion-adecco/,2026-07-20
AFC-011,PELUQUERÍA PABLETES Málaga,centro_civico,,Málaga,,España,,36.7246475,-4.4612217,Establecimiento certificado en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/andalusia/malaga/comercio/peluqueria-pabletes-malaga/,2026-07-20
AFC-012,COFERDROZA,centro_civico,,Zaragoza,,España,,41.8872756,-0.7628973,Establecimiento certificado en Autism Friendly Club.,,,,Verificado - Documentación pública,,,https://autismfriendlyclub.com/sitios/spain/aragon/zaragoza/comercio/coferdroza/,2026-07-20
